book_names,author_pages,no_of_pages,no_of_ratings,avg_rating,my_rating,date_added,date_read,image_sources,image_name,name
Kudos,https://www.goodreads.com/author/show/46051.Rachel_Cusk,232,16692,3.88,4.0,"February 11, 2025","Feb 21, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582143627l/40949675._SY75_.jpg,www/cover_76.png,Rachel Cusk
Transit,https://www.goodreads.com/author/show/46051.Rachel_Cusk,260,24164,3.96,4.0,"February 05, 2025","Feb 05, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582143445l/38311308._SY75_.jpg,www/cover_77.png,Rachel Cusk
The Left Hand of Darkness,https://www.goodreads.com/author/show/874602.Ursula_K_Le_Guin,304,220615,4.1,4.0,"November 05, 2019","Feb 02, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488213612l/18423._SY75_.jpg,www/cover_78.png,Ursula K. Le Guin
"A Feast for Crows (A Song of Ice and Fire, #4)",https://www.goodreads.com/author/show/346732.George_R_R_Martin,1060,792039,4.17,4.0,"December 10, 2024","Jan 22, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661026821l/13497._SY75_.jpg,www/cover_79.png,George R.R. Martin
Miras,https://www.goodreads.com/author/show/736475.Vigdis_Hjorth,309,21099,3.91,5.0,"January 07, 2025","Jan 13, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1616094766l/57453075._SX50_.jpg,www/cover_80.png,Vigdis Hjorth
Dublinliler,https://www.goodreads.com/author/show/5144.James_Joyce,232,176305,3.83,3.0,"January 04, 2025","Jan 05, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1706906712l/206874457._SY75_.jpg,www/cover_81.png,James Joyce
The New York Trilogy,https://www.goodreads.com/author/show/296961.Paul_Auster,314,86990,3.86,4.0,"June 01, 2015",Jan 2025,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348245167l/6394173._SY75_.jpg,www/cover_82.png,Paul Auster
Yoksullar Geliyor,https://www.goodreads.com/author/show/3142367.Orhan_Duru,88,30,3.57,4.0,"December 29, 2024","Dec 29, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618602921l/57757474._SY75_.jpg,www/cover_83.png,Orhan Duru
A Book for Christmas,https://www.goodreads.com/author/show/38266.Selma_Lagerl_f,96,418,3.59,2.0,"December 09, 2024","Dec 10, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1718877978l/208494347._SY75_.jpg,www/cover_84.png,Selma Lagerlöf
"A Storm of Swords (A Song of Ice and Fire, #3)",https://www.goodreads.com/author/show/346732.George_R_R_Martin,1177,846182,4.55,4.0,"October 07, 2024","Dec 08, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571318786l/62291._SY75_.jpg,www/cover_85.png,George R.R. Martin
Monstrilio,https://www.goodreads.com/author/show/22926208.Gerardo_S_mano_C_rdova,339,43176,4.07,3.0,"November 30, 2024","Dec 05, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1712447146l/210984200._SY75_.jpg,www/cover_86.png,Gerardo Sámano Córdova
A Tree Grows in Brooklyn,https://www.goodreads.com/author/show/2327917.Betty_Smith,622,512558,4.3,4.0,"October 29, 2024","Nov 26, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650136560l/60824355._SY75_.jpg,www/cover_87.png,Betty Smith
The Mysterious Case of the Alperton Angels,https://www.goodreads.com/author/show/20523461.Janice_Hallett,495,31048,3.89,3.0,"October 24, 2024","Nov 02, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1696174720l/199247355._SY75_.jpg,www/cover_88.png,Janice Hallett
Ella Minnow Pea: A Novel in Letters,https://www.goodreads.com/author/show/9993.Mark_Dunn,208,58498,3.94,3.0,"September 29, 2024","Oct 19, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479697890l/16200._SY75_.jpg,www/cover_89.png,Mark Dunn
Kairos,https://www.goodreads.com/author/show/11572.Jenny_Erpenbeck,294,26085,3.35,3.0,"August 22, 2024","Oct 15, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1722846415l/202576816._SY75_.jpg,www/cover_90.png,Jenny Erpenbeck
"A Clash of Kings  (A Song of Ice and Fire, #2)",https://www.goodreads.com/author/show/346732.George_R_R_Martin,1009,1020871,4.42,5.0,"August 22, 2024","Oct 06, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567840212l/10572._SY75_.jpg,www/cover_91.png,George R.R. Martin
Our Share of Night,https://www.goodreads.com/author/show/4930107.Mariana_Enriquez,608,61845,4.25,3.0,"September 08, 2024","Sep 27, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660429536l/61169673._SY75_.jpg,www/cover_92.png,Mariana Enriquez
I Who Have Never Known Men,https://www.goodreads.com/author/show/7620.Jacqueline_Harpman,188,466263,4.1,4.0,"August 13, 2024","Aug 18, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554973792l/43208407._SY75_.jpg,www/cover_93.png,Jacqueline Harpman
"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/author/show/346732.George_R_R_Martin,835,2734978,4.45,5.0,"July 07, 2024","Aug 14, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496._SY75_.jpg,www/cover_94.png,George R.R. Martin
At the End of the Matinee,https://www.goodreads.com/author/show/5511353.Keiichir_Hirano,312,2987,3.84,4.0,"July 25, 2024","Jul 25, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1607961760l/55156106._SY75_.jpg,www/cover_95.png,Keiichirō Hirano
Pereira Maintains,https://www.goodreads.com/author/show/64456.Antonio_Tabucchi,196,36025,4.2,5.0,"July 20, 2024","Jul 22, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348389365l/7849308._SY75_.jpg,www/cover_96.png,Antonio Tabucchi
The Lost Soul,https://www.goodreads.com/author/show/296560.Olga_Tokarczuk,48,4139,4.31,2.0,"September 25, 2023","Jul 19, 2024",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1607324857l/53377292._SX50_.jpg,www/cover_97.png,Olga Tokarczuk
